Year,Rank,SpacerDA,Player, FairwayRate ,FairwaysHit,FairwaysPossible
1987,1,-,Calvin Peete, 0.8300 ,744,896
1987,2,-,Mike Reid, 0.8040 ,"1,114","1,386"
1987,3,-,David Edwards, 0.7750 ,716,924
1987,4,-,David Frost, 0.7710 ,"1,058","1,372"
1987,5,-,Larry Mize, 0.7710 ,863,"1,120"
1987,6,-,Bob Murphy, 0.7690 ,837,"1,088"
1987,7,-,Hal Sutton, 0.7610 ,959,"1,260"
1987,8,-,Bruce Lietzke, 0.7570 ,731,966
1987,9,-,Jack Renner, 0.7500 ,931,"1,242"
1987,10,-,John Mahaffey, 0.7490 ,"1,080","1,442"
1987,11,-,Bill Rogers, 0.7470 ,784,"1,050"
1987,12,-,Wayne Levi, 0.7450 ,863,"1,158"
1987,13,-,Tom Kite, 0.7450 ,939,"1,260"
1987,14,-,Curtis Strange, 0.7450 ,"1,022","1,372"
1987,15,-,D.A. Weibring, 0.7410 ,902,"1,218"
1987,16,-,Hale Irwin, 0.7370 ,722,980
1987,17,-,Doug Tewell, 0.7340 ,778,"1,060"
1987,18,-,Larry Nelson, 0.7330 ,739,"1,008"
1987,19,-,Jay Haas, 0.7300 ,"1,060","1,452"
1987,20,-,Tom Byrum, 0.7290 ,"1,061","1,456"
1987,21,-,Scott Simpson, 0.7270 ,916,"1,260"
1987,22,-,T.C. Chen, 0.7260 ,539,742
1987,23,-,Nick Price, 0.7240 ,831,"1,148"
1987,24,-,John Cook, 0.7230 ,992,"1,372"
1987,25,-,Corey Pavin, 0.7220 ,849,"1,176"
1987,26,-,Gil Morgan, 0.7210 ,503,698
1987,27,-,Don Pooley, 0.7160 ,922,"1,288"
1987,28,-,Dave Barr, 0.7140 ,939,"1,316"
1987,29,-,Ken Brown, 0.7110 ,627,882
1987,30,-,Chip Beck, 0.7090 ,912,"1,286"
1987,31,-,Peter Jacobsen, 0.7080 ,830,"1,172"
1987,32,-,Blaine McCallister, 0.7080 ,"1,045","1,476"
1987,33,-,Danny Edwards, 0.7080 ,763,"1,078"
1987,34,-,Lanny Wadkins, 0.7080 ,832,"1,176"
1987,35,-,Tim Simpson, 0.7060 ,"1,082","1,532"
1987,36,-,Tony Sills, 0.7060 ,906,"1,284"
1987,37,-,Hubert Green, 0.7040 ,700,994
1987,38,-,Denis Watson, 0.7030 ,922,"1,312"
1987,39,-,Payne Stewart, 0.7020 ,951,"1,354"
1987,40,-,Mark McCumber, 0.7020 ,"1,012","1,442"
1987,41,-,Jim Wilson, 0.7010 ,606,864
1987,42,-,Gene Sauers, 0.7010 ,"1,020","1,456"
1987,43,-,Mark O'Meara, 0.7000 ,852,"1,218"
1987,44,-,Roger Maltbie, 0.6980 ,818,"1,172"
1987,45,-,Robert Thompson, 0.6970 ,708,"1,016"
1987,46,-,Dan Pohl, 0.6940 ,932,"1,344"
