Year,Rank,SpacerDD,Player, AvgDist ,TotDist,TotDrives
1987,1,,John McComish, 283.9 ,"39,744",140
1987,2,,Davis Love III, 281.5 ,"47,850",170
1987,3,,Joey Sindelar, 280.3 ,"63,346",226
1987,4,,Greg Norman, 278.2 ,"37,279",134
1987,4,,Mac O'Grady, 278.2 ,"48,401",174
1987,6,,Fred Couples, 276.8 ,"50,386",182
1987,7,,Jay Don Blake, 275.2 ,"53,390",194
1987,8,,Bill Glasson, 275.1 ,"50,617",184
1987,9,,Brad Greer, 274.3 ,"41,143",150
1987,10,,Craig Stadler, 274.0 ,"41,648",152
1987,11,,Bill Sander, 273.7 ,"50,359",184
1987,12,,Phil Blackmar, 273.5 ,"54,696",200
1987,13,,Jodie Mudd, 273.3 ,"53,022",194
1987,14,,Mark Calcavecchia, 273.1 ,"48,619",178
1987,15,,Dan Pohl, 273.0 ,"52,413",192
1987,16,,Curt Byrum, 272.8 ,"60,556",222
1987,17,,Dan Forsman, 272.4 ,"65,920",242
1987,18,,Kenny Perry, 271.8 ,"41,861",154
1987,19,,Sam Randolph, 271.6 ,"42,365",156
1987,20,,Denny Hepler, 271.2 ,"30,371",112
1987,21,,Lon Hinkle, 270.8 ,"36,824",136
1987,22,,Steve Pate, 270.7 ,"62,793",232
1987,23,,Russ Cochran, 270.5 ,"59,502",220
1987,24,,"Jim Gallagher, Jr.", 270.1 ,"55,105",204
1987,25,,Payne Stewart, 269.9 ,"52,368",194
1987,26,,Andy Bean, 269.8 ,"29,679",110
1987,27,,Ted Schulz, 269.7 ,"38,836",144
1987,28,,Tom Watson, 269.6 ,"36,122",134
1987,29,,Paul Azinger, 269.5 ,"51,197",190
1987,29,,Dave Rummells, 269.5 ,"59,287",220
1987,31,,Trevor Dodds, 269.4 ,"42,573",158
1987,32,,Rick Dalpos, 269.1 ,"48,981",182
1987,32,,Duffy Waldorf, 269.1 ,"48,984",182
1987,34,,Tom Purtzer, 269.0 ,"50,030",186
1987,35,,Jim Carter, 268.9 ,"52,699",196
1987,35,,Andrew Magee, 268.9 ,"50,555",188
1987,37,,John Adams, 268.8 ,"52,138",194
1987,38,,Clarence Rose, 268.3 ,"61,181",228
1987,38,,Tom Sieckmann, 268.3 ,"48,295",180
1987,40,,Ernie Gonzalez, 268.2 ,"56,332",210
1987,41,,Steve Jones, 267.9 ,"49,296",184
1987,42,,Jay Delsing, 267.7 ,"51,392",192
1987,42,,Rocco Mediate, 267.7 ,"49,800",186
1987,44,,George Burns, 267.5 ,"54,580",204
1987,45,,Mark McCumber, 267.1 ,"55,021",206
1987,46,,Donnie Hammond, 267.0 ,"45,398",170
1987,46,,Sandy Lyle, 267.0 ,"28,306",106
1987,48,,Ken Green, 266.8 ,"49,631",186
1987,49,,Bobby Wadkins, 266.6 ,"54,396",204
1987,50,,Jeff Lewis, 266.5 ,"33,047",124
1987,51,,Dewey Arnette, 266.4 ,"34,102",128
1987,51,,Perry Arthur, 266.4 ,"39,433",148
1987,51,,Blaine McCallister, 266.4 ,"56,476",212
1987,54,,Ed Dougherty, 266.3 ,"44,733",168
1987,55,,John Riegger, 266.2 ,"29,812",112
1987,56,,"Don Shirey, Jr.", 266.1 ,"44,709",168
1987,57,,Gil Morgan, 265.5 ,"26,549",100
1987,58,,Dave Eichelberger, 265.4 ,"50,431",190
1987,58,,Mike Hulbert, 265.4 ,"60,522",228
1987,58,,Ray Stewart, 265.4 ,"45,652",172
1987,61,,Gary Hallberg, 265.3 ,"49,876",188
1987,61,,Mike Sullivan, 265.3 ,"45,099",170
1987,63,,Ronnie Black, 265.2 ,"50,912",192
1987,63,,Denis Watson, 265.2 ,"49,855",188
1987,65,,John Horne, 264.9 ,"32,312",122
1987,66,,Bruce Lietzke, 264.8 ,"36,543",138
1987,67,,David Graham, 264.7 ,"31,769",120
1987,68,,Brad Faxon, 264.6 ,"48,156",182
1987,68,,John Mahaffey, 264.6 ,"54,516",206
1987,70,,Dave Barr, 264.4 ,"49,699",188
1987,71,,Bobby Clampett, 264.2 ,"43,336",164
1987,71,,Nick Price, 264.2 ,"43,333",164
1987,71,,Bob Tway, 264.2 ,"46,497",176
1987,74,,Buddy Gardner, 264.1 ,"57,044",216
1987,74,,Ted Lehmann, 264.1 ,"33,800",128
1987,76,,Larry Rinker, 263.9 ,"49,608",188
1987,76,,Hal Sutton, 263.9 ,"47,493",180
1987,78,,Tony Grimes, 263.8 ,"33,233",126
1987,79,,Gene Sauers, 263.6 ,"54,834",208
1987,79,,Scott Verplank, 263.6 ,"44,819",170
1987,81,,Roger Maltbie, 263.4 ,"44,258",168
1987,81,,Fuzzy Zoeller, 263.4 ,"37,929",144
1987,83,,Bruce Soulsby, 263.2 ,"45,269",172
1987,84,,Andy Dillard, 263.1 ,"42,624",162
1987,84,,Fred Wadsworth, 263.1 ,"54,735",208
1987,86,,Ben Crenshaw, 263.0 ,"43,650",166
1987,87,,Chip Beck, 262.6 ,"48,318",184
1987,87,,Keith Clearwater, 262.6 ,"61,975",236
1987,87,,Jeff Sluman, 262.6 ,"56,720",216
1987,90,,Bob Gilder, 262.4 ,"52,998",202
1987,90,,Mike Smith, 262.4 ,"38,833",148
1987,92,,David Peoples, 262.3 ,"37,246",142
1987,93,,Bobby Cole, 262.0 ,"50,820",194
1987,94,,Peter Jacobsen, 261.9 ,"43,997",168
1987,95,,Mark Hayes, 261.7 ,"54,424",208
1987,96,,Andy North, 261.6 ,"31,397",120
1987,96,,J.C. Snead, 261.6 ,"45,513",174
1987,98,,Steve Elkington, 261.5 ,"52,833",202
1987,99,,Scott Hoch, 261.4 ,"50,720",194
1987,99,,Barry Jaeckel, 261.4 ,"51,242",196
1987,99,,Jim Thorpe, 261.4 ,"30,319",116
1987,102,,Rex Caldwell, 261.3 ,"32,925",126
1987,102,,Mike Nicolette, 261.3 ,"26,656",102
1987,104,,Tim Simpson, 261.0 ,"57,430",220
1987,105,,Frank Conner, 260.9 ,"28,180",108
1987,106,,Robert Wrenn, 260.7 ,"39,623",152
1987,107,,Mike McCullough, 260.6 ,"37,001",142
1987,107,,Aki Ohmachi, 260.6 ,"40,658",156
1987,107,,Curtis Strange, 260.6 ,"51,070",196
1987,110,,Mike Donald, 260.5 ,"58,356",224
1987,111,,Bernhard Langer, 260.3 ,"30,198",116
1987,111,,Mark O'Meara, 260.3 ,"45,296",174
1987,111,,Billy Pierot, 260.3 ,"29,674",114
1987,114,,Bob Eastwood, 260.2 ,"48,406",186
1987,114,,Gary Krueger, 260.2 ,"36,944",142
1987,116,,Billy Kratzert, 260.1 ,"44,744",172
1987,117,,Doug Tewell, 260.0 ,"39,526",152
1987,118,,Dick Mast, 259.9 ,"51,470",198
1987,118,,Howard Twitty, 259.9 ,"48,867",188
1987,118,,Mark Wiebe, 259.9 ,"59,786",230
1987,121,,Mike Bender, 259.7 ,"41,026",158
1987,122,,T.C. Chen, 259.5 ,"27,510",106
1987,123,,David Frost, 259.2 ,"50,812",196
1987,124,,Raymond Floyd, 259.1 ,"33,679",130
1987,125,,Larry Nelson, 259.0 ,"37,295",144
1987,126,,Tony Sills, 258.9 ,"47,639",184
1987,126,,Leonard Thompson, 258.9 ,"52,806",204
1987,128,,Larry Mize, 258.8 ,"41,401",160
1987,129,,Wayne Levi, 258.5 ,"42,903",166
1987,130,,Bill Britton, 258.4 ,"42,374",164
1987,131,,Brian Claar, 258.3 ,"53,200",206
1987,132,,Dan Halldorson, 258.1 ,"44,905",174
1987,132,,Chris Perry, 258.1 ,"51,617",200
1987,134,,Antonio Cerda, 257.7 ,"46,904",182
1987,134,,Danny Edwards, 257.7 ,"39,692",154
1987,134,,Jay Haas, 257.7 ,"53,609",208
1987,134,,Gary Koch, 257.7 ,"36,594",142
1987,134,,Jim Nelford, 257.7 ,"40,719",158
1987,139,,Charles Bolling, 257.6 ,"52,542",204
1987,139,,Ron Streck, 257.6 ,"49,460",192
1987,141,,Kenny Knox, 257.5 ,"55,616",216
1987,142,,Harry Taylor, 257.3 ,"41,686",162
1987,143,,Bob Lohr, 257.1 ,"52,966",206
1987,144,,Brad Fabel, 256.9 ,"37,511",146
1987,145,,Mark Lye, 256.8 ,"53,415",208
1987,145,,Willie Wood, 256.8 ,"49,815",194
1987,147,,David Ogrin, 256.7 ,"47,229",184
1987,148,,D.A. Weibring, 256.5 ,"44,630",174
1987,149,,Ken Brown, 256.3 ,"32,296",126
1987,150,,Richard Zokol, 256.1 ,"30,727",120
1987,151,,Vance Heafner, 256.0 ,"41,988",164
1987,151,,Don Pooley, 256.0 ,"47,097",184
1987,153,,"Ray Barr, Jr.", 255.9 ,"40,438",158
1987,154,,Hale Irwin, 255.3 ,"35,737",140
1987,155,,Philip Jonas, 255.2 ,"30,619",120
1987,156,,Tom Byrum, 255.1 ,"53,066",208
1987,156,,Tom Kite, 255.1 ,"45,920",180
1987,158,,David Canipe, 255.0 ,"42,848",168
1987,159,,Rick Fehr, 254.9 ,"31,607",124
1987,159,,David Hobby, 254.9 ,"33,652",132
1987,161,,Mark Brooks, 254.7 ,"47,369",186
1987,161,,Brett Upper, 254.7 ,"41,257",162
1987,163,,Lennie Clements, 254.4 ,"39,680",156
1987,163,,Pat McGowan, 254.4 ,"45,786",180
1987,165,,John Inman, 254.3 ,"46,287",182
1987,166,,Doug Johnson, 254.0 ,"37,091",146
1987,167,,Woody Blackburn, 253.9 ,"27,930",110
1987,168,,John Cook, 253.5 ,"49,695",196
1987,169,,Bill Rogers, 253.4 ,"38,003",150
1987,170,,Loren Roberts, 253.3 ,"41,539",164
1987,170,,Robert Thompson, 253.3 ,"36,981",146
1987,170,,Lanny Wadkins, 253.3 ,"42,559",168
1987,173,,David Edwards, 253.0 ,"33,400",132
1987,174,,Ed Fiori, 252.9 ,"44,001",174
1987,175,,Jim Wilson, 252.3 ,"31,279",124
1987,176,,Mark Pfeil, 252.2 ,"26,732",106
1987,177,,Tim Norris, 250.9 ,"46,166",184
1987,177,,Scott Simpson, 250.9 ,"45,162",180
1987,179,,Corey Pavin, 250.3 ,"42,047",168
1987,180,,Tom Garner, 249.9 ,"39,976",160
1987,181,,Calvin Peete, 249.6 ,"31,954",128
1987,182,,Morris Hatalsky, 248.7 ,"38,792",156
1987,183,,Jim Simons, 248.6 ,"27,343",110
1987,184,,Jack Renner, 248.2 ,"44,188",178
1987,185,,Mike Reid, 247.9 ,"49,077",198
1987,186,,Hubert Green, 246.0 ,"34,930",142
1987,187,,Dave Stockton, 244.6 ,"27,393",112
1987,188,,Bob Murphy, 244.2 ,"38,102",156
1987,,,tour average, 262.0 ,,
1988,1,,Steve Thomas, 284.6 ,"40,697",143
1988,2,,Craig Stadler, 279.5 ,"40,531",145
1988,3,,Greg Norman, 279.4 ,"28,774",103
1988,4,,Bill Glasson, 278.4 ,"48,155",173
1988,5,,Dan Pohl, 277.9 ,"50,851",183
1988,6,,Davis Love III, 276.4 ,"49,197",178
1988,7,,John Adams, 276.1 ,"35,065",127
1988,8,,Kenny Perry, 275.6 ,"55,393",201
1988,8,,Duffy Waldorf, 275.6 ,"49,063",178
1988,10,,Mark Calcavecchia, 275.5 ,"64,469",234
1988,11,,Bill Sander, 275.0 ,"45,106",164
1988,11,,Tom Sieckmann, 275.0 ,"42,907",156
1988,13,,Mac O'Grady, 274.8 ,"35,726",130
1988,14,,Tommy Armour III, 274.0 ,"49,860",182
1988,15,,Joey Sindelar, 273.7 ,"60,487",221
1988,16,,Sandy Lyle, 273.5 ,"34,185",125
