Year,Rank,SpacerGIR,Player, GreensRate ,GreensHit,GreensPossible
1987,1,-,Gil Morgan, 0.7330 ,660,900
1987,2,-,Bruce Lietzke, 0.7290 ,905,"1,242"
1987,3,-,Hal Sutton, 0.7190 ,"1,165","1,620"
1987,4,-,Wayne Levi, 0.7140 ,"1,067","1,494"
1987,5,-,John Mahaffey, 0.7130 ,"1,322","1,854"
1987,6,-,Dan Pohl, 0.7130 ,"1,232","1,728"
1987,7,-,Mike Reid, 0.7130 ,"1,270","1,782"
1987,8,-,Tim Simpson, 0.7100 ,"1,406","1,980"
1987,9,-,Mark McCumber, 0.7070 ,"1,311","1,854"
1987,10,-,Dave Barr, 0.7050 ,"1,193","1,692"
1987,11,-,Tom Watson, 0.7050 ,850,"1,206"
1987,12,-,Fred Couples, 0.7040 ,"1,153","1,638"
1987,13,-,Russ Cochran, 0.7030 ,"1,392","1,980"
1987,13,-,Jay Haas, 0.7030 ,"1,316","1,872"
1987,15,-,Curtis Strange, 0.7020 ,"1,238","1,764"
1987,16,-,Mark O'Meara, 0.7010 ,"1,098","1,566"
1987,17,-,Curt Byrum, 0.7010 ,"1,400","1,998"
1987,18,-,Kenny Perry, 0.7010 ,971,"1,386"
1987,19,-,David Edwards, 0.6990 ,830,"1,188"
1987,20,-,Paul Azinger, 0.6970 ,"1,191","1,710"
1987,21,-,Bobby Wadkins, 0.6930 ,"1,272","1,836"
1987,22,-,Calvin Peete, 0.6920 ,797,"1,152"
1987,23,-,Scott Hoch, 0.6910 ,"1,207","1,746"
1987,24,-,Bill Glasson, 0.6910 ,"1,144","1,656"
1987,24,-,Doug Tewell, 0.6910 ,945,"1,368"
1987,26,-,Richard Zokol, 0.6910 ,746,"1,080"
1987,27,-,John McComish, 0.6910 ,870,"1,260"
1987,28,-,Lennie Clements, 0.6870 ,965,"1,404"
1987,29,-,"Don Shirey, Jr.", 0.6860 ,"1,037","1,512"
1987,30,-,Clarence Rose, 0.6860 ,"1,407","2,052"
1987,31,-,Harry Taylor, 0.6850 ,999,"1,458"
1987,32,-,Mac O'Grady, 0.6830 ,"1,070","1,566"
1987,33,-,Andrew Magee, 0.6830 ,"1,156","1,692"
1987,34,-,Bobby Cole, 0.6830 ,"1,192","1,746"
1987,34,-,Mike Hulbert, 0.6830 ,"1,401","2,052"
1987,36,-,Steve Pate, 0.6830 ,"1,425","2,088"
1987,36,-,Lanny Wadkins, 0.6830 ,"1,032","1,512"
1987,38,-,Donnie Hammond, 0.6820 ,"1,044","1,530"
1987,39,-,Tom Purtzer, 0.6820 ,"1,142","1,674"
1987,40,-,Ben Crenshaw, 0.6820 ,"1,019","1,494"
1987,41,-,Ed Dougherty, 0.6820 ,"1,031","1,512"
1987,42,-,Joey Sindelar, 0.6810 ,"1,386","2,034"
1987,43,-,Ronnie Black, 0.6810 ,"1,176","1,728"
1987,44,-,Duffy Waldorf, 0.6800 ,"1,114","1,638"
1987,45,-,Danny Edwards, 0.6800 ,942,"1,386"
1987,45,-,David Frost, 0.6800 ,"1,199","1,764"
1987,47,-,Rocco Mediate, 0.6790 ,"1,137","1,674"
1987,48,-,Howard Twitty, 0.6790 ,"1,149","1,692"
1987,49,-,Mark Lye, 0.6790 ,"1,271","1,872"
1987,50,-,Craig Stadler, 0.6780 ,927,"1,368"
1987,51,-,Tom Kite, 0.6770 ,"1,097","1,620"
1987,52,-,Dan Halldorson, 0.6770 ,"1,060","1,566"
1987,53,-,Fuzzy Zoeller, 0.6770 ,877,"1,296"
1987,54,-,Peter Jacobsen, 0.6770 ,"1,023","1,512"
1987,54,-,Robert Thompson, 0.6770 ,889,"1,314"
1987,56,-,Tom Byrum, 0.6760 ,"1,265","1,872"
1987,57,-,Ed Fiori, 0.6760 ,"1,058","1,566"
1987,58,-,Keith Clearwater, 0.6750 ,"1,434","2,124"
1987,59,-,Dave Rummells, 0.6750 ,"1,336","1,980"
1987,60,-,Larry Mize, 0.6740 ,971,"1,440"
1987,61,-,Jack Renner, 0.6740 ,"1,079","1,602"
1987,62,-,David Canipe, 0.6730 ,"1,018","1,512"
1987,62,-,Greg Norman, 0.6730 ,812,"1,206"
1987,62,-,Tony Sills, 0.6730 ,"1,115","1,656"
1987,65,-,Bob Eastwood, 0.6730 ,"1,127","1,674"
1987,66,-,Buddy Gardner, 0.6730 ,"1,308","1,944"
1987,66,-,Dick Mast, 0.6730 ,"1,199","1,782"
1987,68,-,Bruce Soulsby, 0.6720 ,"1,040","1,548"
1987,69,-,T.C. Chen, 0.6710 ,640,954
1987,70,-,Ken Brown, 0.6700 ,760,"1,134"
1987,71,-,David Ogrin, 0.6700 ,"1,109","1,656"
1987,72,-,Mark Hayes, 0.6690 ,"1,252","1,872"
1987,73,-,Leonard Thompson, 0.6680 ,"1,227","1,836"
1987,74,-,Scott Simpson, 0.6680 ,"1,082","1,620"
1987,75,-,Dan Forsman, 0.6680 ,"1,454","2,178"
1987,76,-,Chip Beck, 0.6670 ,"1,105","1,656"
1987,77,-,Davis Love III, 0.6660 ,"1,019","1,530"
1987,78,-,Steve Elkington, 0.6660 ,"1,210","1,818"
1987,79,-,Raymond Floyd, 0.6650 ,778,"1,170"
1987,80,-,Tim Norris, 0.6650 ,"1,101","1,656"
1987,81,-,Blaine McCallister, 0.6650 ,"1,268","1,908"
1987,81,-,Jeff Sluman, 0.6650 ,"1,292","1,944"
1987,83,-,Jodie Mudd, 0.6640 ,"1,160","1,746"
1987,84,-,Don Pooley, 0.6640 ,"1,100","1,656"
1987,85,-,George Burns, 0.6640 ,"1,219","1,836"
1987,86,-,Ken Green, 0.6640 ,"1,111","1,674"
1987,86,-,Denis Watson, 0.6640 ,"1,123","1,692"
1987,88,-,Sandy Lyle, 0.6640 ,633,954
1987,89,-,Bob Lohr, 0.6630 ,"1,229","1,854"
1987,90,-,Loren Roberts, 0.6630 ,978,"1,476"
1987,91,-,Mike Smith, 0.6620 ,882,"1,332"
1987,92,-,Mark Calcavecchia, 0.6620 ,"1,060","1,602"
1987,93,-,Jay Don Blake, 0.6620 ,"1,155","1,746"
1987,93,-,Payne Stewart, 0.6620 ,"1,155","1,746"
