Year,Rank,,Player,Avg,Total Putts,Total Rounds,Low Total Putts
1987,1,-,Morris Hatalsky,28.33,"2,210",78,22
1987,2,-,Rex Caldwell,28.62,"1,803",63,24
1987,3,-,Bernhard Langer,28.67,"1,663",58,23
1987,4,-,Willie Wood,28.76,"2,790",97,24
1987,5,-,David Frost,28.79,"2,821",98,23
1987,6,-,Ben Crenshaw,28.95,"2,403",83,23
1987,7,-,Don Pooley,28.96,"2,664",92,22
1987,8,-,Payne Stewart,28.98,"2,811",97,23
1987,9,-,Corey Pavin,28.99,"2,435",84,23
1987,10,-,Frank Conner,29,"1,566",54,22
1987,11,-,Larry Mize,29.01,"2,321",80,23
1987,12,-,Brad Faxon,29.03,"2,642",91,24
1987,13,-,Lanny Wadkins,29.04,"2,439",84,23
1987,14,-,Bob Gilder,29.05,"2,934",101,21
1987,15,-,Tom Kite,29.07,"2,616",90,21
1987,15,-,Gary Krueger,29.07,"2,064",71,24
1987,17,-,Nick Price,29.09,"2,385",82,22
1987,18,-,Hubert Green,29.11,"2,067",71,23
1987,18,-,John Inman,29.11,"2,649",91,22
1987,18,-,Kenny Knox,29.11,"3,144",108,21
1987,18,-,D.A. Weibring,29.11,"2,533",87,23
1987,22,-,Ken Brown,29.14,"1,836",63,22
1987,23,-,Chip Beck,29.17,"2,684",92,21
1987,23,-,Bill Sander,29.17,"2,684",92,21
1987,23,-,Ron Streck,29.17,"2,800",96,23
1987,26,-,Jay Don Blake,29.19,"2,831",97,22
1987,26,-,Chris Perry,29.19,"2,919",100,22
1987,26,-,Scott Simpson,29.19,"2,627",90,22
1987,26,-,Denis Watson,29.19,"2,744",94,21
1987,30,-,Bobby Clampett,29.2,"2,394",82,23
1987,30,-,Raymond Floyd,29.2,"1,898",65,24
1987,32,-,Mike Donald,29.21,"3,271",112,21
1987,32,-,Dave Stockton,29.21,"1,636",56,23
1987,34,-,Greg Norman,29.22,"1,958",67,23
1987,35,-,Bob Tway,29.23,"2,572",88,23
1987,36,-,Rick Fehr,29.24,"1,813",62,23
1987,37,-,Brad Fabel,29.25,"2,135",73,24
1987,38,-,Paul Azinger,29.27,"2,781",95,24
1987,38,-,Mark Calcavecchia,29.27,"2,605",89,22
1987,38,-,Hale Irwin,29.27,"2,049",70,24
1987,41,-,Mark Brooks,29.28,"2,723",93,22
1987,41,-,Larry Nelson,29.28,"2,108",72,22
1987,43,-,Gary Koch,29.3,"2,080",71,23
1987,43,-,Tom Sieckmann,29.3,"2,637",90,24
1987,43,-,Jeff Sluman,29.3,"3,164",108,22
1987,46,-,John Cook,29.32,"2,873",98,21
1987,47,-,Perry Arthur,29.35,"2,172",74,23
1987,47,-,Scott Hoch,29.35,"2,847",97,23
1987,47,-,Billy Pierot,29.35,"1,673",57,24
1987,50,-,Larry Rinker,29.37,"2,761",94,22
1987,51,-,Jodie Mudd,29.39,"2,851",97,24
1987,51,-,J.C. Snead,29.39,"2,557",87,23
1987,53,-,Davis Love III,29.41,"2,500",85,22
1987,54,-,Bob Murphy,29.42,"2,295",78,22
1987,55,-,Ronnie Black,29.43,"2,825",96,23
1987,55,-,Ed Fiori,29.43,"2,560",87,25
1987,55,-,Pat McGowan,29.43,"2,649",90,21
1987,55,-,Jack Renner,29.43,"2,619",89,24
1987,55,-,Craig Stadler,29.43,"2,237",76,22
1987,60,-,Mark Wiebe,29.46,"3,388",115,23
1987,61,-,Brian Claar,29.47,"3,035",103,23
1987,61,-,Jim Nelford,29.47,"2,328",79,23
1987,61,-,Steve Pate,29.47,"3,419",116,22
1987,64,-,Vance Heafner,29.49,"2,418",82,23
1987,64,-,Dave Rummells,29.49,"3,244",110,23
1987,64,-,Curtis Strange,29.49,"2,890",98,23
1987,67,-,George Burns,29.5,"3,009",102,22
1987,67,-,Ray Stewart,29.5,"2,537",86,24
1987,67,-,Howard Twitty,29.5,"2,773",94,22
1987,70,-,Sam Randolph,29.51,"2,302",78,21
1987,71,-,Tom Watson,29.52,"1,978",67,25
1987,72,-,Buddy Gardner,29.53,"3,189",108,22
1987,72,-,Fred Wadsworth,29.53,"3,071",104,22
1987,74,-,Lon Hinkle,29.54,"2,009",68,23
1987,75,-,Phil Blackmar,29.56,"2,956",100,23
1987,75,-,Jim Carter,29.56,"2,897",98,22
1987,75,-,Bob Eastwood,29.56,"2,749",93,23
1987,75,-,Ken Green,29.56,"2,749",93,24
1987,79,-,Mike Bender,29.57,"2,336",79,24
1987,79,-,Fred Couples,29.57,"2,691",91,22
1987,79,-,Roger Maltbie,29.57,"2,484",84,24
1987,79,-,Fuzzy Zoeller,29.57,"2,129",72,24
1987,79,-,Richard Zokol,29.57,"1,774",60,23
1987,84,-,Charles Bolling,29.58,"3,017",102,24
1987,84,-,Andy Dillard,29.58,"2,396",81,24
1987,84,-,David Graham,29.58,"1,775",60,23
1987,84,-,Sandy Lyle,29.58,"1,568",53,24
1987,88,-,Dan Forsman,29.59,"3,580",121,23
1987,88,-,Gene Sauers,29.59,"3,077",104,22
1987,88,-,Mike Sullivan,29.59,"2,515",85,22
1987,88,-,Bobby Wadkins,29.59,"3,018",102,23
1987,92,-,Mike Nicolette,29.61,"1,510",51,24
1987,93,-,Philip Jonas,29.62,"1,777",60,23
1987,94,-,Keith Clearwater,29.63,"3,496",118,24
1987,95,-,Steve Jones,29.64,"2,727",92,22
1987,96,-,Jim Simons,29.67,"1,632",55,24
1987,97,-,Mike McCullough,29.68,"2,107",71,24
1987,98,-,Jay Haas,29.69,"3,088",104,22
1987,99,-,Tom Byrum,29.71,"3,090",104,23
1987,100,-,Danny Edwards,29.73,"2,289",77,24
1987,100,-,Dick Mast,29.73,"2,943",99,22
1987,100,-,Andy North,29.73,"1,784",60,25
1987,103,-,Antonio Cerda,29.74,"2,706",91,24
1987,103,-,Rick Dalpos,29.74,"2,706",91,23
1987,103,-,Gary Hallberg,29.74,"2,796",94,24
1987,106,-,Dewey Arnette,29.75,"1,904",64,24
1987,107,-,Ted Lehmann,29.77,"1,905",64,22
1987,108,-,Woody Blackburn,29.78,"1,638",55,24
1987,109,-,Ernie Gonzalez,29.79,"3,128",105,25
1987,109,-,Barry Jaeckel,29.79,"2,919",98,24
1987,109,-,Billy Kratzert,29.79,"2,562",86,24
1987,109,-,Loren Roberts,29.79,"2,443",82,24
1987,113,-,John Adams,29.8,"2,891",97,24
1987,114,-,Doug Johnson,29.81,"2,176",73,24
1987,115,-,David Edwards,29.82,"1,968",66,21
1987,115,-,John Horne,29.82,"1,819",61,23
1987,117,-,David Hobby,29.83,"1,969",66,22
1987,117,-,Mark O'Meara,29.83,"2,595",87,26
1987,119,-,Robert Wrenn,29.84,"2,268",76,25
1987,120,-,Peter Jacobsen,29.87,"2,509",84,23
1987,121,-,Steve Elkington,29.88,"3,018",101,22
1987,122,-,Bill Britton,29.89,"2,451",82,24
1987,122,-,Brad Greer,29.89,"2,242",75,23
1987,122,-,Wayne Levi,29.89,"2,481",83,24
1987,125,-,Dan Pohl,29.91,"2,871",96,23
1987,126,-,Blaine McCallister,29.93,"3,173",106,25
1987,127,-,T.C. Chen,29.94,"1,587",53,23
1987,127,-,Tony Grimes,29.94,"1,886",63,24
1987,127,-,Mark Pfeil,29.94,"1,587",53,24
1987,130,-,"Ray Barr, Jr.",29.96,"2,367",79,24
1987,130,-,Ed Dougherty,29.96,"2,517",84,24
1987,130,-,Donnie Hammond,29.96,"2,547",85,24
1987,130,-,Scott Verplank,29.96,"2,547",85,24
1987,134,-,"Jim Gallagher, Jr.",29.97,"3,057",102,23
1987,134,-,Bob Lohr,29.97,"3,087",103,23
1987,134,-,Mike Reid,29.97,"2,967",99,24
1987,137,-,Trevor Dodds,29.99,"2,369",79,25
1987,137,-,Andrew Magee,29.99,"2,819",94,25
1987,137,-,Aki Ohmachi,29.99,"2,339",78,23
1987,140,-,Bill Rogers,30,"2,250",75,22
1987,141,-,Dave Eichelberger,30.01,"2,851",95,23
1987,142,-,Hal Sutton,30.02,"2,702",90,24
1987,143,-,Jay Delsing,30.03,"2,883",96,23
1987,143,-,Calvin Peete,30.03,"1,922",64,25
1987,145,-,Mark McCumber,30.04,"3,094",103,25
1987,145,-,Tim Norris,30.04,"2,764",92,21
1987,145,-,Leonard Thompson,30.04,"3,064",102,23
1987,148,-,Curt Byrum,30.05,"3,335",111,23
1987,148,-,Russ Cochran,30.05,"3,306",110,24
1987,150,-,Dan Halldorson,30.06,"2,615",87,23
1987,151,-,Clarence Rose,30.08,"3,429",114,22
1987,152,-,Dave Barr,30.09,"2,828",94,26
1987,152,-,Denny Hepler,30.09,"1,685",56,25
1987,154,-,Jim Thorpe,30.1,"1,746",58,21
1987,155,-,John Riegger,30.14,"1,688",56,24
1987,155,-,Tim Simpson,30.14,"3,315",110,23
1987,155,-,Bruce Soulsby,30.14,"2,592",86,23
1987,158,-,John Mahaffey,30.16,"3,106",103,25
1987,159,-,Lennie Clements,30.18,"2,354",78,24
1987,160,-,Mark Hayes,30.21,"3,142",104,23
1987,160,-,Mark Lye,30.21,"3,142",104,25
1987,162,-,Tom Purtzer,30.22,"2,810",93,24
1987,163,-,Brett Upper,30.23,"2,449",81,23
1987,164,-,Mike Hulbert,30.25,"3,448",114,24
1987,164,-,Tony Sills,30.25,"2,783",92,24
1987,166,-,Jeff Lewis,30.26,"1,876",62,24
1987,166,-,Joey Sindelar,30.26,"3,419",113,22
1987,168,-,Mac O'Grady,30.3,"2,636",87,24
1987,168,-,"Don Shirey, Jr.",30.3,"2,545",84,24
1987,170,-,Bill Glasson,30.32,"2,789",92,24
1987,170,-,Doug Tewell,30.32,"2,304",76,25
1987,172,-,Tom Garner,30.35,"2,428",80,24
1987,172,-,Rocco Mediate,30.35,"2,823",93,23
1987,174,-,Harry Taylor,30.36,"2,459",81,23
1987,175,-,Ted Schulz,30.4,"2,189",72,25
1987,176,-,Mike Smith,30.41,"2,250",74,21
1987,177,-,Bobby Cole,30.43,"2,952",97,24
1987,178,-,Robert Thompson,30.44,"2,222",73,24
1987,179,-,David Canipe,30.48,"2,560",84,24
1987,180,-,Kenny Perry,30.49,"2,348",77,25
1987,181,-,Gil Morgan,30.5,"1,525",50,26
1987,182,-,Jim Wilson,30.52,"1,892",62,25
1987,183,-,Andy Bean,30.58,"1,682",55,26
1987,184,-,David Peoples,30.59,"2,172",71,23
1987,185,-,David Ogrin,30.63,"2,818",92,22
